,ppm,values
0,-3.2387252321330595,0.0
1,-3.2382361769014243,0.0
2,-3.237747121669789,0.0
3,-3.237258066438154,0.0
4,-3.236769011206519,0.0
5,-3.236279955974884,0.0
6,-3.2357909007432486,0.0
7,-3.2353018455116134,0.0
8,-3.234812790279978,0.0
9,-3.234323735048343,0.0
10,-3.233834679816708,0.0
11,-3.233345624585073,0.0
12,-3.2328565693534377,0.0
13,-3.2323675141218025,0.0
14,-3.2318784588901672,0.0
15,-3.231389403658532,0.0
16,-3.2309003484268968,0.0
17,-3.230411293195262,0.0
18,-3.2299222379636268,0.0
19,-3.2294331827319915,0.0
20,-3.2289441275003563,0.0
21,-3.228455072268721,0.0
22,-3.227966017037086,0.0
23,-3.227476961805451,0.0
24,-3.226987906573816,0.0
25,-3.2264988513421806,0.0
26,-3.2260097961105454,0.0
27,-3.22552074087891,0.0
28,-3.225031685647275,0.0
29,-3.2245426304156397,0.0
30,-3.224053575184005,0.0
31,-3.2235645199523697,0.0
32,-3.2230754647207345,0.0
33,-3.2225864094890992,0.0
34,-3.222097354257464,0.0
35,-3.221608299025829,0.0
36,-3.221119243794194,0.0
37,-3.220630188562559,0.0
38,-3.2201411333309236,0.0
39,-3.2196520780992883,0.0
40,-3.219163022867653,0.0
41,-3.218673967636018,0.0
42,-3.2181849124043826,0.0
43,-3.217695857172748,0.0
44,-3.2172068019411126,0.0
45,-3.2167177467094774,0.0
46,-3.216228691477842,0.0
47,-3.215739636246207,0.0
48,-3.2152505810145717,0.0
49,-3.2147615257829365,0.0
50,-3.2142724705513017,0.0
51,-3.2137834153196665,0.0
52,-3.2132943600880313,0.0
53,-3.212805304856396,0.0
54,-3.212316249624761,0.0
55,-3.2118271943931256,0.0
56,-3.211338139161491,0.0
57,-3.2108490839298556,0.0
58,-3.2103600286982203,0.0
59,-3.209870973466585,0.0
60,-3.20938191823495,0.0
61,-3.2088928630033147,0.0
62,-3.2084038077716794,0.0
63,-3.2079147525400447,0.0
64,-3.2074256973084094,0.0
65,-3.206936642076774,0.0
66,-3.206447586845139,0.0
67,-3.2059585316135037,0.0
68,-3.2054694763818685,0.0
69,-3.2049804211502337,0.0
70,-3.2044913659185985,0.0
71,-3.2040023106869633,0.0
72,-3.203513255455328,0.0
73,-3.203024200223693,0.0
74,-3.2025351449920576,0.0
75,-3.2020460897604224,0.0
76,-3.2015570345287876,0.0
77,-3.2010679792971524,0.0
78,-3.200578924065517,0.0
79,-3.200089868833882,0.0
80,-3.1996008136022467,0.0
81,-3.1991117583706115,0.0
82,-3.1986227031389767,0.0
83,-3.1981336479073414,0.0
84,-3.197644592675706,0.0
85,-3.197155537444071,0.0
86,-3.1966664822124358,0.0
87,-3.1961774269808005,0.0
88,-3.1956883717491653,0.0
89,-3.1951993165175305,0.0
90,-3.1947102612858953,0.0
91,-3.19422120605426,0.0
92,-3.193732150822625,0.0
93,-3.1932430955909896,0.0
94,-3.1927540403593544,0.0
95,-3.1922649851277196,0.0
96,-3.1917759298960844,0.0
97,-3.191286874664449,0.0
98,-3.190797819432814,0.0
99,-3.1903087642011787,0.0
100,-3.1898197089695435,0.0
101,-3.1893306537379082,0.0
102,-3.1888415985062735,0.0
103,-3.1883525432746382,0.0
104,-3.187863488043003,0.0
105,-3.187374432811368,0.0
106,-3.1868853775797326,0.0
107,-3.1863963223480973,0.0
108,-3.1859072671164625,0.0
109,-3.1854182118848273,0.0
110,-3.184929156653192,0.0
111,-3.184440101421557,0.0
112,-3.1839510461899216,0.0
113,-3.1834619909582864,0.0
114,-3.182972935726651,0.0
115,-3.1824838804950164,0.0
116,-3.181994825263381,0.0
117,-3.181505770031746,0.0
