ppm,values
-0.97253,0.075866
-0.97243,-0.70343
-0.97233,-1.4881
-0.97223,-2.2128
-0.97213,-2.8155
-0.97203,-3.2443
-0.97193,-3.4664
-0.97183,-3.4774
-0.97173,-3.3015
-0.97163,-2.9811
-0.97153,-2.5621
-0.97143,-2.0861
-0.97133,-1.5885
-0.97124,-1.0959
-0.97114,-0.61986
-0.97104,-0.15779
-0.97094,0.29953
-0.97084,0.75933
-0.97074,1.2242
-0.97064,1.6922
-0.97054,2.1559
-0.97044,2.6011
-0.97034,3.0081
-0.97024,3.3571
-0.97015,3.6334
-0.97005,3.8314
-0.96995,3.9535
-0.96985,4.0093
-0.96975,4.0144
-0.96965,3.9877
-0.96955,3.9463
-0.96945,3.9007
-0.96935,3.8491
-0.96925,3.7766
-0.96915,3.6614
-0.96905,3.4873
-0.96896,3.2549
-0.96886,2.9822
-0.96876,2.6932
-0.96866,2.404
-0.96856,2.117
-0.96846,1.8296
-0.96836,1.5449
-0.96826,1.2761
-0.96816,1.0416
-0.96806,0.85547
-0.96796,0.72214
-0.96786,0.63736
-0.96776,0.59196
-0.96766,0.5747
-0.96757,0.57384
-0.96747,0.5803
-0.96737,0.59222
-0.96727,0.61416
-0.96717,0.64828
-0.96707,0.68506
-0.96697,0.7028
-0.96687,0.67753
-0.96677,0.59819
-0.96667,0.47797
-0.96657,0.35285
-0.96647,0.26666
-0.96638,0.25172
-0.96628,0.31776
-0.96618,0.45496
-0.96608,0.64588
-0.96598,0.87607
-0.96588,1.1386
-0.96578,1.4337
-0.96568,1.7629
-0.96558,2.1194
-0.96548,2.4784
-0.96538,2.8001
-0.96528,3.0436
-0.96519,3.1844
-0.96509,3.2235
-0.96499,3.1851
-0.96489,3.1033
-0.96479,3.0049
-0.96469,2.8972
-0.96459,2.7708
-0.96449,2.6112
-0.96439,2.4103
-0.96429,2.1701
-0.96419,1.901
-0.9641,1.6203
-0.964,1.3461
-0.9639,1.0873
-0.9638,0.83961
-0.9637,0.59295
-0.9636,0.34378
-0.9635,0.098436
-0.9634,-0.13804
-0.9633,-0.3758
-0.9632,-0.64132
-0.9631,-0.96177
-0.963,-1.3452
-0.9629,-1.7727
-0.96281,-2.2088
-0.96271,-2.6184
-0.96261,-2.9806
-0.96251,-3.2896
-0.96241,-3.5457
-0.96231,-3.7465
-0.96221,-3.8848
-0.96211,-3.9549
-0.96201,-3.9588
-0.96191,-3.9062
-0.96181,-3.8132
-0.96171,-3.7
-0.96161,-3.5913
-0.96152,-3.5129
-0.96142,-3.4851
-0.96132,-3.5103
-0.96122,-3.5692
-0.96112,-3.6289
-0.96102,-3.6608
-0.96092,-3.6507
-0.96082,-3.5968
-0.96072,-3.5019
-0.96062,-3.37
-0.96052,-3.2084
-0.96042,-3.0322
-0.96033,-2.86
-0.96023,-2.706
-0.96013,-2.5759
-0.96003,-2.4704
-0.95993,-2.3892
-0.95983,-2.3346
-0.95973,-2.3118
-0.95963,-2.3262
-0.95953,-2.3769
-0.95943,-2.4534
-0.95933,-2.5381
-0.95923,-2.615
-0.95913,-2.6762
-0.95904,-2.7227
-0.95894,-2.7571
-0.95884,-2.7758
-0.95874,-2.7678
-0.95864,-2.7202
-0.95854,-2.624
-0.95844,-2.4772
-0.95834,-2.2865
-0.95824,-2.0651
-0.95814,-1.8304
-0.95804,-1.6021
-0.95795,-1.4012
-0.95785,-1.2455
-0.95775,-1.1408
-0.95765,-1.0784
-0.95755,-1.0443
-0.95745,-1.0364
-0.95735,-1.0696
-0.95725,-1.1629
-0.95715,-1.3175
-0.95705,-1.508
-0.95695,-1.6908
-0.95685,-1.8213
-0.95676,-1.8643
-0.95666,-1.7959
-0.95656,-1.6034
-0.95646,-1.2889
-0.95636,-0.87298
-0.95626,-0.39409
-0.95616,0.099266
-0.95606,0.55938
-0.95596,0.94907
-0.95586,1.2468
-0.95576,1.4462
-0.95566,1.5507
-0.95556,1.5697
-0.95547,1.518
-0.95537,1.4159
-0.95527,1.2871
-0.95517,1.152
-0.95507,1.0219
-0.95497,0.89954
-0.95487,0.78927
-0.95477,0.70881
-0.95467,0.69103
-0.95457,0.77166
-0.95447,0.97078
-0.95437,1.2807
-0.95427,1.6677
-0.95418,2.0849
-0.95408,2.4866
-0.95398,2.836
-0.95388,3.1082
-0.95378,3.2915
-0.95368,3.3844
-0.95358,3.3872
-0.95348,3.2986
-0.95338,3.1223
-0.95328,2.8765
-0.95318,2.5961
-0.95308,2.324
-0.95299,2.0974
-0.95289,1.9376
-0.95279,1.8478
-0.95269,1.8176
-0.95259,1.8302
-0.95249,1.8687
-0.95239,1.9211
-0.95229,1.9781
-0.95219,2.0297
-0.95209,2.0621
-0.95199,2.0604
-0.9519,2.0141
-0.9518,1.9205
-0.9517,1.7808
-0.9516,1.5944
-0.9515,1.3549
-0.9514,1.0518
-0.9513,0.68035
-0.9512,0.25046
-0.9511,-0.21169
-0.951,-0.67318
-0.9509,-1.1072
-0.9508,-1.5001
-0.95071,-1.8498
-0.95061,-2.1591
-0.95051,-2.4282
-0.95041,-2.6507
-0.95031,-2.8137
-0.95021,-2.9033
-0.95011,-2.9122
-0.95001,-2.8436
-0.94991,-2.7076
-0.94981,-2.5138
-0.94971,-2.2698
-0.94961,-1.988
-0.94951,-1.6864
-0.94942,-1.3812
-0.94932,-1.0779
-0.94922,-0.77282
-0.94912,-0.46347
-0.94902,-0.15749
-0.94892,0.12973
-0.94882,0.38384
-0.94872,0.59532
-0.94862,0.75461
-0.94852,0.84781
-0.94842,0.86178
-0.94832,0.79413
-0.94822,0.65731
-0.94813,0.47242
-0.94803,0.25696
-0.94793,0.015314
-0.94783,-0.25997
-0.94773,-0.57339
-0.94763,-0.90836
-0.94753,-1.2231
-0.94743,-1.4669
-0.94733,-1.6045
-0.94723,-1.6285
-0.94713,-1.5533
-0.94703,-1.4002
-0.94694,-1.1886
-0.94684,-0.94025
-0.94674,-0.68765
-0.94664,-0.47277
-0.94654,-0.3368
-0.94644,-0.30816
-0.94634,-0.39354
-0.94624,-0.57423
-0.94614,-0.81098
-0.94604,-1.0567
-0.94594,-1.2703
-0.94584,-1.4279
-0.94574,-1.5273
-0.94565,-1.5876
-0.94555,-1.6394
-0.94545,-1.7116
-0.94535,-1.8181
-0.94525,-1.9509
-0.94515,-2.0824
-0.94505,-2.1795
-0.94495,-2.2204
-0.94485,-2.2034
-0.94475,-2.1405
-0.94465,-2.041
-0.94456,-1.8997
-0.94446,-1.6994
-0.94436,-1.4264
-0.94426,-1.0821
-0.94416,-0.68203
-0.94406,-0.24651
-0.94396,0.20774
-0.94386,0.66727
-0.94376,1.1167
-0.94366,1.5354
-0.94356,1.8992
-0.94346,2.1858
-0.94337,2.3788
-0.94327,2.4639
-0.94317,2.426
-0.94307,2.2531
-0.94297,1.9483
-0.94287,1.5397
-0.94277,1.077
-0.94267,0.61738
-0.94257,0.20854
-0.94247,-0.11843
-0.94237,-0.34662
-0.94227,-0.46557
-0.94217,-0.46594
-0.94207,-0.34116
-0.94198,-0.09455
-0.94188,0.25394
-0.94178,0.6667
-0.94168,1.0943
-0.94158,1.4872
-0.94148,1.8084
-0.94138,2.0418
-0.94128,2.1908
-0.94118,2.2675
-0.94108,2.2803
-0.94098,2.2266
-0.94088,2.0984
-0.94079,1.8979
-0.94069,1.6488
-0.94059,1.3943
-0.94049,1.1831
-0.94039,1.0564
-0.94029,1.0428
-0.94019,1.1554
-0.94009,1.387
-0.93999,1.7063
-0.93989,2.0659
-0.93979,2.4193
-0.93969,2.7347
-0.9396,2.9977
-0.9395,3.2057
-0.9394,3.3629
-0.9393,3.476
-0.9392,3.5497
-0.9391,3.5801
-0.939,3.5553
-0.9389,3.4638
-0.9388,3.3055
-0.9387,3.097
-0.9386,2.869
-0.93851,2.6585
-0.93841,2.5021
-0.93831,2.4297
-0.93821,2.4602
-0.93811,2.5986
-0.93801,2.8355
-0.93791,3.1488
-0.93781,3.5057
-0.93771,3.8691
-0.93761,4.2028
-0.93751,4.4754
-0.93741,4.6601
-0.93732,4.7359
-0.93722,4.6929
-0.93712,4.54
-0.93702,4.3092
-0.93692,4.0459
-0.93682,3.787
-0.93672,3.5428
-0.93662,3.2942
-0.93652,3.0059
-0.93642,2.644
-0.93632,2.1907
-0.93622,1.6507
-0.93612,1.0494
-0.93602,0.42576
-0.93593,-0.17614
-0.93583,-0.71274
-0.93573,-1.1461
-0.93563,-1.4495
-0.93553,-1.6102
-0.93543,-1.6268
-0.93533,-1.508
-0.93523,-1.275
-0.93513,-0.96082
-0.93503,-0.60325
-0.93493,-0.23762
-0.93483,0.10673
-0.93474,0.40707
-0.93464,0.64851
-0.93454,0.82568
-0.93444,0.94293
-0.93434,1.0119
-0.93424,1.0461
-0.93414,1.0556
-0.93404,1.0447
-0.93394,1.0157
-0.93384,0.97447
-0.93374,0.93401
-0.93364,0.91308
-0.93354,0.93427
-0.93345,1.022
-0.93335,1.1968
-0.93325,1.4631
-0.93315,1.7991
-0.93305,2.1562
-0.93295,2.4705
-0.93285,2.6806
-0.93275,2.7449
-0.93265,2.6531
-0.93255,2.4258
-0.93245,2.104
-0.93236,1.7351
-0.93226,1.3587
-0.93216,0.99599
-0.93206,0.64703
-0.93196,0.29934
-0.93186,-0.056224
-0.93176,-0.41441
-0.93166,-0.75493
-0.93156,-1.0487
-0.93146,-1.2658
-0.93136,-1.3841
-0.93126,-1.3965
-0.93117,-1.3173
-0.93107,-1.1788
-0.93097,-1.0205
-0.93087,-0.87452
-0.93077,-0.76043
-0.93067,-0.68723
-0.93057,-0.65706
-0.93047,-0.66476
-0.93037,-0.69611
-0.93027,-0.72942
-0.93017,-0.74027
-0.93007,-0.70655
-0.92997,-0.61428
-0.92988,-0.46453
-0.92978,-0.27544
-0.92968,-0.074266
-0.92958,0.11678
-0.92948,0.29184
-0.92938,0.46409
-0.92928,0.65902
-0.92918,0.90025
-0.92908,1.194
-0.92898,1.5217
-0.92888,1.8453
-0.92878,2.1231
-0.92868,2.3258
-0.92859,2.4428
-0.92849,2.4776
-0.92839,2.4372
-0.92829,2.3253
-0.92819,2.1428
-0.92809,1.8962
-0.92799,1.6051
-0.92789,1.3007
-0.92779,1.0184
-0.92769,0.78804
-0.92759,0.626
-0.92749,0.53133
-0.9274,0.49187
-0.9273,0.50053
-0.9272,0.56624
-0.9271,0.70475
-0.927,0.91535
-0.9269,1.1649
-0.9268,1.3929
-0.9267,1.5323
-0.9266,1.5328
-0.9265,1.3773
-0.9264,1.086
-0.92631,0.70766
-0.92621,0.3011
-0.92611,-0.085685
-0.92601,-0.4274
-0.92591,-0.71906
-0.92581,-0.96479
-0.92571,-1.1666
-0.92561,-1.3193
-0.92551,-1.4142
-0.92541,-1.4486
-0.92531,-1.4321
-0.92521,-1.3857
-0.92512,-1.3328
-0.92502,-1.2908
-0.92492,-1.2657
-0.92482,-1.251
-0.92472,-1.2284
-0.92462,-1.1755
-0.92452,-1.0781
-0.92442,-0.93824
-0.92432,-0.77335
-0.92422,-0.60817
-0.92412,-0.46742
-0.92402,-0.37386
-0.92392,-0.351
-0.92383,-0.42441
-0.92373,-0.61656
-0.92363,-0.93625
-0.92353,-1.3691
-0.92343,-1.876
-0.92333,-2.4014
-0.92323,-2.8871
-0.92313,-3.2872
-0.92303,-3.5773
-0.92293,-3.7558
-0.92283,-3.8367
-0.92273,-3.8372
-0.92263,-3.7699
-0.92254,-3.6436
-0.92244,-3.473
-0.92234,-3.286
-0.92224,-3.1215
-0.92214,-3.0174
-0.92204,-2.9951
-0.92194,-3.0484
-0.92184,-3.1437
-0.92174,-3.2299
-0.92164,-3.2567
-0.92154,-3.1931
-0.92144,-3.0374
-0.92135,-2.8144
-0.92125,-2.5605
-0.92115,-2.3101
-0.92105,-2.0927
-0.92095,-1.9371
-0.92085,-1.8714
-0.92075,-1.914
-0.92065,-2.063
-0.92055,-2.2912
-0.92045,-2.5525
-0.92035,-2.7975
-0.92026,-2.9914
-0.92015,-3.126
-0.92006,-3.2203
-0.91996,-3.307
-0.91986,-3.4134
-0.91976,-3.5489
-0.91966,-3.7039
-0.91956,-3.861
-0.91946,-4.0085
-0.91936,-4.1472
-0.91926,-4.2884
-0.91916,-4.4472
-0.91906,-4.6306
-0.91897,-4.8288
-0.91887,-5.0141
-0.91877,-5.1502
-0.91867,-5.2056
-0.91857,-5.1617
-0.91847,-5.0124
-0.91837,-4.7624
-0.91827,-4.4296
-0.91817,-4.0498
-0.91807,-3.6752
-0.91797,-3.358
-0.91787,-3.1298
-0.91778,-2.9873
-0.91768,-2.8969
-0.91758,-2.8137
-0.91748,-2.7029
-0.91738,-2.5507
-0.91728,-2.3628
-0.91718,-2.1539
-0.91708,-1.9361
-0.91698,-1.711
-0.91688,-1.467
-0.91678,-1.1817
-0.91668,-0.83014
-0.91658,-0.39682
-0.91648,0.11427
-0.91639,0.67772
-0.91629,1.2547
-0.91619,1.8056
-0.91609,2.3018
-0.91599,2.7346
-0.91589,3.1153
-0.91579,3.4658
-0.91569,3.8027
-0.91559,4.1275
-0.91549,4.4271
-0.91539,4.6831
-0.91529,4.8831
-0.9152,5.0272
-0.9151,5.1253
-0.915,5.1863
-0.9149,5.207
-0.9148,5.1712
-0.9147,5.0609
-0.9146,4.8709
-0.9145,4.6131
-0.9144,4.3064
-0.9143,3.9584
-0.9142,3.5588
-0.9141,3.09
-0.91401,2.5456
-0.91391,1.9399
-0.91381,1.3043
-0.91371,0.67596
-0.91361,0.091982
-0.91351,-0.41372
-0.91341,-0.81176
-0.91331,-1.0798
-0.91321,-1.2054
-0.91311,-1.1885
-0.91301,-1.0404
-0.91292,-0.78351
-0.91282,-0.45345
-0.91272,-0.10014
-0.91262,0.22177
-0.91252,0.47117
-0.91242,0.63379
-0.91232,0.71962
-0.91222,0.7475
-0.91212,0.72965
-0.91202,0.66657
-0.91192,0.55338
-0.91182,0.39132
-0.91173,0.1953
-0.91163,-0.0079736
-0.91153,-0.19006
-0.91143,-0.33286
-0.91133,-0.43465
-0.91123,-0.50608
-0.91113,-0.55839
-0.91103,-0.59267
-0.91093,-0.59863
-0.91083,-0.56387
-0.91073,-0.48401
-0.91063,-0.36429
-0.91053,-0.21416
-0.91043,-0.045027
-0.91034,0.12717
-0.91024,0.28219
-0.91014,0.40082
-0.91004,0.46976
-0.90994,0.48357
-0.90984,0.44655
-0.90974,0.3752
-0.90964,0.29763
-0.90954,0.24734
-0.90944,0.253
-0.90934,0.32982
-0.90924,0.47774
-0.90915,0.6889
-0.90905,0.95839
-0.90895,1.2881
-0.90885,1.6789
-0.90875,2.1181
-0.90865,2.5741
-0.90855,3.0051
-0.90845,3.3729
-0.90835,3.6533
-0.90825,3.8357
-0.90815,3.9177
-0.90805,3.9021
-0.90795,3.7972
-0.90786,3.6195
-0.90776,3.3948
-0.90766,3.1539
-0.90756,2.9263
-0.90746,2.736
-0.90736,2.6029
-0.90726,2.5448
-0.90716,2.5764
-0.90706,2.7043
-0.90696,2.9213
-0.90686,3.2037
-0.90677,3.5185
-0.90667,3.8341
-0.90657,4.1311
-0.90647,4.4039
-0.90637,4.6513
-0.90627,4.8648
-0.90617,5.0225
-0.90607,5.0927
-0.90597,5.0416
-0.90587,4.8432
-0.90577,4.4885
-0.90567,3.9918
-0.90558,3.389
-0.90548,2.7324
-0.90538,2.0805
-0.90528,1.4837
-0.90518,0.97252
-0.90508,0.55473
-0.90498,0.21595
-0.90488,-0.076164
-0.90478,-0.36116
-0.90468,-0.66884
-0.90458,-1.0074
-0.90448,-1.365
-0.90438,-1.7178
-0.90429,-2.0332
-0.90419,-2.2707
-0.90409,-2.3884
-0.90399,-2.36
-0.90389,-2.1921
-0.90379,-1.929
-0.90369,-1.641
-0.90359,-1.3998
-0.90349,-1.253
-0.90339,-1.209
-0.90329,-1.2366
-0.90319,-1.2796
-0.90309,-1.2779
-0.903,-1.1901
-0.9029,-1.0068
-0.9028,-0.74694
-0.9027,-0.44074
