ppm,values
0.60959,19.195
0.60969,19.926
0.60979,20.654
0.60989,21.374
0.60999,22.079
0.61008,22.769
0.61018,23.452
0.61028,24.145
0.61038,24.864
0.61048,25.62
0.61058,26.413
0.61068,27.239
0.61078,28.084
0.61088,28.93
0.61098,29.749
0.61108,30.503
0.61118,31.153
0.61128,31.659
0.61137,31.99
0.61147,32.13
0.61157,32.075
0.61167,31.845
0.61177,31.468
0.61187,30.976
0.61197,30.389
0.61207,29.715
0.61217,28.96
0.61227,28.13
0.61237,27.233
0.61247,26.276
0.61257,25.263
0.61266,24.199
0.61276,23.095
0.61286,21.975
0.61296,20.874
0.61306,19.828
0.61316,18.872
0.61326,18.025
0.61336,17.29
0.61346,16.659
0.61356,16.113
0.61366,15.631
0.61376,15.19
0.61385,14.768
0.61395,14.35
0.61405,13.937
0.61415,13.542
0.61425,13.183
0.61435,12.877
0.61445,12.632
0.61455,12.444
0.61465,12.299
0.61475,12.177
0.61485,12.047
0.61494,11.88
0.61504,11.661
0.61514,11.401
0.61524,11.138
0.61534,10.918
0.61544,10.767
0.61554,10.684
0.61564,10.648
0.61574,10.636
0.61584,10.638
0.61594,10.658
0.61604,10.71
0.61613,10.811
0.61623,10.976
0.61633,11.212
0.61643,11.511
0.61653,11.853
0.61663,12.215
0.61673,12.574
0.61683,12.908
0.61693,13.198
0.61703,13.433
0.61713,13.611
0.61723,13.742
0.61733,13.841
0.61743,13.921
0.61752,13.99
0.61762,14.047
0.61772,14.083
0.61782,14.093
0.61792,14.081
0.61802,14.058
0.61812,14.038
0.61822,14.021
0.61832,13.999
0.61842,13.961
0.61852,13.913
0.61862,13.881
0.61871,13.897
0.61881,13.988
0.61891,14.157
0.61901,14.385
0.61911,14.641
0.61921,14.897
0.61931,15.128
0.61941,15.317
0.61951,15.448
0.61961,15.513
0.61971,15.515
0.61981,15.471
0.6199,15.411
0.62,15.366
0.6201,15.358
0.6202,15.391
0.6203,15.449
0.6204,15.51
0.6205,15.556
0.6206,15.584
0.6207,15.606
0.6208,15.638
0.6209,15.694
0.62099,15.778
0.62109,15.88
0.62119,15.985
0.62129,16.08
0.62139,16.156
0.62149,16.207
0.62159,16.234
0.62169,16.248
0.62179,16.268
0.62189,16.311
0.62199,16.377
0.62209,16.454
0.62219,16.518
0.62228,16.558
0.62238,16.58
0.62248,16.617
0.62258,16.707
0.62268,16.876
0.62278,17.121
0.62288,17.417
0.62298,17.729
0.62308,18.033
0.62318,18.318
0.62328,18.591
0.62338,18.866
0.62348,19.161
0.62357,19.487
0.62367,19.844
0.62377,20.227
0.62387,20.628
0.62397,21.053
0.62407,21.514
0.62417,22.019
0.62427,22.56
0.62437,23.111
0.62447,23.631
0.62457,24.085
0.62467,24.447
0.62476,24.709
0.62486,24.878
0.62496,24.973
0.62506,25.02
0.62516,25.051
0.62526,25.098
0.62536,25.184
0.62546,25.313
0.62556,25.46
0.62566,25.576
0.62576,25.608
0.62586,25.52
0.62596,25.311
0.62605,25.009
0.62615,24.659
0.62625,24.301
0.62635,23.945
0.62645,23.578
0.62655,23.176
0.62665,22.726
0.62675,22.225
0.62685,21.682
0.62695,21.104
0.62705,20.496
0.62714,19.863
0.62724,19.217
0.62734,18.579
0.62744,17.973
0.62754,17.42
0.62764,16.927
0.62774,16.485
0.62784,16.079
0.62794,15.696
0.62804,15.324
0.62814,14.958
0.62824,14.6
0.62833,14.261
0.62843,13.961
0.62853,13.725
0.62863,13.584
0.62873,13.564
0.62883,13.678
0.62893,13.917
0.62903,14.252
0.62913,14.649
0.62923,15.079
0.62933,15.525
0.62943,15.975
0.62953,16.418
0.62962,16.846
0.62972,17.251
0.62982,17.627
0.62992,17.974
0.63002,18.292
0.63012,18.581
0.63022,18.833
0.63032,19.041
0.63042,19.196
0.63052,19.291
0.63062,19.319
0.63072,19.268
0.63082,19.128
0.63091,18.891
0.63101,18.562
0.63111,18.159
0.63121,17.704
0.63131,17.216
0.63141,16.715
0.63151,16.219
0.63161,15.748
0.63171,15.326
0.63181,14.969
0.63191,14.69
0.63201,14.486
0.6321,14.347
0.6322,14.257
0.6323,14.197
0.6324,14.146
0.6325,14.085
0.6326,13.997
0.6327,13.869
0.6328,13.691
0.6329,13.457
0.633,13.173
0.6331,12.861
0.63319,12.562
0.63329,12.323
0.63339,12.175
0.63349,12.122
0.63359,12.138
0.63369,12.183
0.63379,12.215
0.63389,12.205
0.63399,12.146
0.63409,12.054
0.63419,11.96
0.63429,11.905
0.63438,11.926
0.63448,12.058
0.63458,12.321
0.63468,12.72
0.63478,13.24
0.63488,13.835
0.63498,14.435
0.63508,14.962
0.63518,15.354
0.63528,15.581
0.63538,15.64
0.63548,15.544
0.63558,15.308
0.63567,14.953
0.63577,14.514
0.63587,14.041
0.63597,13.601
0.63607,13.262
0.63617,13.07
0.63627,13.038
0.63637,13.143
0.63647,13.339
0.63657,13.58
0.63667,13.837
0.63677,14.104
0.63687,14.398
0.63696,14.74
0.63706,15.15
0.63716,15.638
0.63726,16.205
0.63736,16.843
0.63746,17.545
0.63756,18.305
0.63766,19.12
0.63776,19.981
0.63786,20.87
0.63796,21.761
0.63806,22.625
0.63816,23.445
0.63825,24.22
0.63835,24.962
0.63845,25.691
0.63855,26.418
0.63865,27.147
0.63875,27.86
0.63885,28.525
0.63895,29.102
0.63905,29.561
0.63915,29.888
0.63925,30.092
0.63935,30.192
0.63944,30.211
0.63954,30.159
0.63964,30.043
0.63974,29.87
0.63984,29.655
0.63994,29.412
0.64004,29.147
0.64014,28.851
0.64024,28.51
0.64034,28.112
0.64044,27.652
0.64053,27.129
0.64063,26.539
0.64073,25.875
0.64083,25.123
0.64093,24.276
0.64103,23.331
0.64113,22.306
0.64123,21.235
0.64133,20.173
0.64143,19.178
0.64153,18.294
0.64163,17.535
0.64172,16.895
0.64182,16.357
0.64192,15.903
0.64202,15.514
0.64212,15.163
0.64222,14.811
0.64232,14.418
0.64242,13.955
0.64252,13.423
0.64262,12.843
0.64272,12.252
0.64282,11.672
0.64292,11.105
0.64302,10.536
0.64311,9.9431
0.64321,9.3154
0.64331,8.6579
0.64341,7.9917
0.64351,7.346
0.64361,6.7482
0.64371,6.2204
0.64381,5.7808
0.64391,5.4447
0.64401,5.2205
0.64411,5.1015
0.64421,5.0602
0.6443,5.0534
0.6444,5.0375
0.6445,4.9852
0.6446,4.8907
0.6447,4.7647
0.6448,4.6256
0.6449,4.493
0.645,4.381
0.6451,4.2921
0.6452,4.2158
0.6453,4.1332
0.6454,4.0263
0.64549,3.8868
0.64559,3.7212
0.64569,3.5494
0.64579,3.3946
0.64589,3.2682
0.64599,3.1629
0.64609,3.057
0.64619,2.9305
0.64629,2.7775
0.64639,2.6103
0.64649,2.4516
0.64658,2.3225
0.64668,2.2332
0.64678,2.1759
0.64688,2.1224
0.64698,2.0302
0.64708,1.8576
0.64718,1.5809
0.64728,1.2042
0.64738,0.75755
0.64748,0.28959
0.64758,-0.14474
0.64768,-0.49786
0.64778,-0.74303
0.64787,-0.88351
0.64797,-0.9522
0.64807,-0.99782
0.64817,-1.0604
0.64827,-1.149
0.64837,-1.2353
0.64847,-1.27
0.64857,-1.2099
0.64867,-1.0422
0.64877,-0.79271
0.64887,-0.51482
0.64897,-0.26697
0.64907,-0.090196
0.64916,0.0027655
0.64926,0.020907
0.64936,-0.021939
0.64946,-0.11794
0.64956,-0.26212
0.64966,-0.44426
0.64976,-0.64727
0.64986,-0.85148
0.64996,-1.0372
0.65006,-1.1861
0.65016,-1.2842
0.65026,-1.3258
0.65035,-1.3098
0.65045,-1.2324
0.65055,-1.0838
0.65065,-0.85218
0.65075,-0.53268
0.65085,-0.13332
0.65095,0.3225
0.65105,0.79729
0.65115,1.2468
0.65125,1.6342
0.65135,1.9442
0.65145,2.1863
0.65155,2.3849
0.65164,2.5608
0.65174,2.7182
0.65184,2.8439
0.65194,2.9182
0.65204,2.9307
0.65214,2.8881
0.65224,2.813
0.65234,2.7348
0.65244,2.6772
0.65254,2.6492
0.65264,2.6428
0.65273,2.6401
0.65283,2.6262
0.65293,2.5978
0.65303,2.562
0.65313,2.5282
0.65323,2.4998
0.65333,2.4716
0.65343,2.4364
0.65353,2.3949
0.65363,2.3599
0.65373,2.3515
0.65383,2.3853
0.65392,2.4633
0.65402,2.5732
0.65412,2.6973
0.65422,2.8234
0.65432,2.9509
0.65442,3.0903
0.65452,3.2559
0.65462,3.456
0.65472,3.6869
0.65482,3.9313
0.65492,4.1597
0.65502,4.3328
0.65512,4.4098
0.65521,4.3647
0.65531,4.2033
0.65541,3.9668
0.65551,3.7179
0.65561,3.5164
0.65571,3.3975
0.65581,3.3643
0.65591,3.3946
0.65601,3.4526
0.65611,3.5018
0.65621,3.5158
0.65631,3.4841
0.65641,3.4089
0.6565,3.2955
0.6566,3.1473
0.6567,2.9676
0.6568,2.7608
0.6569,2.5304
0.657,2.2768
0.6571,2.0011
0.6572,1.7105
0.6573,1.4212
0.6574,1.1553
0.6575,0.93372
0.6576,0.76928
0.65769,0.66366
0.65779,0.61057
0.65789,0.60206
0.65799,0.63367
0.65809,0.707
0.65819,0.82904
0.65829,1.0061
0.65839,1.2328
0.65849,1.4841
0.65859,1.7186
0.65869,1.897
0.65878,2.0028
0.65888,2.0518
0.65898,2.0802
0.65908,2.1225
0.65918,2.1951
0.65928,2.2939
0.65938,2.4034
0.65948,2.5095
0.65958,2.6042
0.65968,2.6832
0.65978,2.7389
0.65988,2.7562
0.65997,2.7182
0.66007,2.6199
0.66017,2.4776
0.66027,2.3231
0.66037,2.186
0.66047,2.0841
0.66057,2.0244
0.66067,2.0076
0.66077,2.0246
0.66087,2.0509
0.66097,2.0495
0.66107,1.9834
0.66117,1.8282
0.66126,1.5797
0.66136,1.2538
0.66146,0.88241
0.66156,0.5057
0.66166,0.16169
0.66176,-0.12251
0.66186,-0.33463
0.66196,-0.47618
0.66206,-0.55712
0.66216,-0.58762
0.66226,-0.57039
0.66236,-0.5004
0.66246,-0.3732
0.66255,-0.1931
0.66265,0.029825
0.66275,0.29202
0.66285,0.605
0.66295,0.98912
0.66305,1.4549
0.66315,1.9864
0.66325,2.5396
0.66335,3.0581
0.66345,3.4953
0.66355,3.8295
0.66365,4.0656
0.66374,4.2227
0.66384,4.3194
0.66394,4.3675
0.66404,4.3762
0.66414,4.3583
0.66424,4.3274
0.66434,4.2906
0.66444,4.2442
0.66454,4.1749
0.66464,4.0648
0.66474,3.8992
0.66484,3.6752
0.66494,3.4032
0.66503,3.0981
0.66513,2.7673
0.66523,2.407
0.66533,2.0083
0.66543,1.5661
0.66553,1.081
0.66563,0.56014
0.66573,0.020614
0.66583,-0.50614
0.66593,-0.97534
0.66603,-1.3392
0.66612,-1.5634
0.66622,-1.6401
0.66632,-1.5902
0.66642,-1.4546
0.66652,-1.2808
0.66662,-1.108
0.66672,-0.95243
0.66682,-0.80018
0.66692,-0.61668
0.66702,-0.36943
0.66712,-0.047696
0.66722,0.33389
0.66731,0.74546
0.66741,1.1546
0.66751,1.5344
0.66761,1.8675
0.66771,2.1477
0.66781,2.3812
0.66791,2.584
0.66801,2.7767
0.66811,2.9794
0.66821,3.2055
0.66831,3.4569
0.66841,3.7237
0.66851,3.9877
0.66861,4.227
0.6687,4.4154
0.6688,4.523
0.6689,4.5244
0.669,4.4116
0.6691,4.2041
0.6692,3.9465
0.6693,3.693
0.6694,3.4886
0.6695,3.361
0.6696,3.323
0.6697,3.3791
0.6698,3.5253
0.66989,3.7435
0.66999,3.9984
0.67009,4.2449
0.67019,4.442
0.67029,4.565
0.67039,4.6104
0.67049,4.5917
0.67059,4.5283
0.67069,4.4337
0.67079,4.3111
0.67089,4.16
0.67099,3.9854
0.67108,3.8006
0.67118,3.6192
0.67128,3.4469
0.67138,3.2794
0.67148,3.108
0.67158,2.9276
0.67168,2.742
0.67178,2.5665
0.67188,2.4242
0.67198,2.3376
0.67208,2.3179
0.67217,2.3599
0.67227,2.4444
0.67237,2.5463
0.67247,2.644
0.67257,2.7239
0.67267,2.7768
0.67277,2.7903
0.67287,2.7452
0.67297,2.6223
0.67307,2.4136
0.67317,2.1283
0.67327,1.7882
0.67337,1.4171
0.67346,1.0338
0.67356,0.65172
0.67366,0.28073
0.67376,-0.071326
0.67386,-0.39906
0.67396,-0.69807
0.67406,-0.96133
0.67416,-1.1776
0.67426,-1.3338
0.67436,-1.4192
0.67446,-1.4275
0.67456,-1.3606
0.67466,-1.2332
0.67475,-1.0717
0.67485,-0.90624
0.67495,-0.75908
0.67505,-0.63724
0.67515,-0.53173
0.67525,-0.42272
0.67535,-0.28993
0.67545,-0.12559
0.67555,0.057495
0.67565,0.22981
0.67575,0.36057
0.67585,0.43764
0.67594,0.47889
0.67604,0.52432
0.67614,0.61283
0.67624,0.76157
0.67634,0.96111
0.67644,1.1851
0.67654,1.4043
0.67664,1.597
0.67674,1.7521
0.67684,1.8666
0.67694,1.9431
0.67704,1.9882
0.67714,2.009
0.67723,2.0095
0.67733,1.9902
0.67743,1.9518
0.67753,1.8966
0.67763,1.8248
0.67773,1.7301
0.67783,1.6004
0.67793,1.4241
0.67803,1.1987
0.67813,0.93676
0.67823,0.66635
0.67832,0.42657
0.67842,0.25863
0.67852,0.19367
0.67862,0.23968
0.67872,0.37609
0.67882,0.56339
0.67892,0.764
0.67902,0.9595
0.67912,1.1528
0.67922,1.3567
0.67932,1.5802
0.67942,1.8186
0.67951,2.052
0.67961,2.2476
0.67971,2.3693
0.67981,2.3927
0.67991,2.3152
0.68001,2.1527
0.68011,1.9278
0.68021,1.6606
0.68031,1.3674
0.68041,1.0613
0.68051,0.7549
0.68061,0.46304
0.68071,0.20375
0.6808,-0.0040307
0.6809,-0.14443
0.681,-0.20691
0.6811,-0.18777
0.6812,-0.093403
0.6813,0.056005
0.6814,0.22728
0.6815,0.38351
0.6816,0.49944
0.6817,0.5745
0.6818,0.63449
0.6819,0.71951
0.682,0.86397
0.68209,1.0805
0.68219,1.3565
0.68229,1.6613
0.68239,1.956
0.68249,2.2021
0.68259,2.3717
0.68269,2.455
0.68279,2.4633
0.68289,2.4256
0.68299,2.3785
0.68309,2.3551
0.68319,2.3761
0.68328,2.4445
0.68338,2.5454
0.68348,2.6518
0.68358,2.7342
0.68368,2.7693
0.68378,2.7423
0.68388,2.6454
0.68398,2.4771
0.68408,2.2458
0.68418,1.9724
0.68428,1.6871
0.68437,1.4205
0.68447,1.195
0.68457,1.0234
0.68467,0.9119
0.68477,0.85889
0.68487,0.85058
0.68497,0.85851
0.68507,0.84418
0.68517,0.7702
0.68527,0.61473
0.68537,0.38138
0.68547,0.095042
0.68556,-0.21612
0.68566,-0.53662
0.68576,-0.8635
0.68586,-1.1948
0.68596,-1.5229
0.68606,-1.8401
0.68616,-2.1489
0.68626,-2.4658
0.68636,-2.81
0.68646,-3.1881
0.68656,-3.5872
0.68666,-3.9808
0.68676,-4.3376
0.68685,-4.6313
0.68695,-4.8478
0.68705,-4.9889
0.68715,-5.0663
0.68725,-5.0914
0.68735,-5.0688
0.68745,-4.9953
0.68755,-4.8626
0.68765,-4.6618
0.68775,-4.3895
0.68785,-4.0528
0.68795,-3.6709
0.68805,-3.2719
0.68814,-2.8829
0.68824,-2.521
0.68834,-2.1907
0.68844,-1.8844
0.68854,-1.5838
0.68864,-1.2614
0.68874,-0.88654
0.68884,-0.4377
0.68894,0.085963
0.68904,0.66275
0.68914,1.2577
0.68924,1.835
0.68933,2.3622
0.68943,2.8063
0.68953,3.1304
0.68963,3.3022
0.68973,3.3088
0.68983,3.1649
0.68993,2.9082
0.69003,2.5833
0.69013,2.2272
0.69023,1.8637
0.69033,1.5081
0.69043,1.1743
0.69053,0.87508
0.69062,0.6163
0.69072,0.39075
0.69082,0.1789
0.69092,-0.041469
0.69102,-0.28218
0.69112,-0.53804
0.69122,-0.79227
0.69132,-1.0292
0.69142,-1.2428
0.69152,-1.4352
0.69162,-1.6084
0.69171,-1.7581
0.69181,-1.8762
0.69191,-1.9606
0.69201,-2.0242
0.69211,-2.0939
0.69221,-2.1967
0.69231,-2.3408
0.69241,-2.5054
0.69251,-2.6457
0.69261,-2.7108
0.69271,-2.6625
0.69281,-2.4884
0.6929,-2.2019
0.693,-1.8347
0.6931,-1.4268
0.6932,-1.0156
0.6933,-0.628
0.6934,-0.27631
0.6935,0.040038
0.6936,0.33034
0.6937,0.60685
0.6938,0.8796
0.6939,1.1513
0.694,1.4129
0.6941,1.6443
0.6942,1.8236
0.69429,1.9415
0.69439,2.0121
0.69449,2.0723
0.69459,2.1659
0.69469,2.3205
0.69479,2.5293
0.69489,2.7528
0.69499,2.9387
0.69509,3.0479
0.69519,3.067
0.69529,3.0019
0.69539,2.8619
0.69548,2.6501
0.69558,2.3641
0.69568,2.0011
0.69578,1.563
0.69588,1.0606
0.69598,0.51685
0.69608,-0.031659
0.69618,-0.53965
0.69628,-0.96315
0.69638,-1.2702
0.69648,-1.4478
0.69658,-1.503
0.69667,-1.4605
0.69677,-1.354
0.69687,-1.2171
0.69697,-1.0778
0.69707,-0.95901
0.69717,-0.88172
0.69727,-0.86509
0.69737,-0.92207
0.69747,-1.0535
0.69757,-1.2446
0.69767,-1.4673
0.69776,-1.6898
0.69786,-1.8886
0.69796,-2.0568
0.69806,-2.2036
0.69816,-2.3462
0.69826,-2.4978
0.69836,-2.6545
0.69846,-2.7893
0.69856,-2.8589
0.69866,-2.8216
0.69876,-2.6572
0.69886,-2.3739
0.69895,-2.0008
0.69905,-1.5714
0.69915,-1.11
0.69925,-0.62713
0.69935,-0.1244
0.69945,0.39875
0.69955,0.94056
0.69965,1.4928
0.69975,2.0359
0.69985,2.5396
0.69995,2.9723
0.70005,3.3133
0.70015,3.5594
0.70025,3.7224
0.70034,3.8217
0.70044,3.8743
0.70054,3.885
0.70064,3.8438
0.70074,3.7345
0.70084,3.5509
0.70094,3.3091
0.70104,3.0456
0.70114,2.7997
0.70124,2.5937
0.70134,2.4248
0.70144,2.275
0.70153,2.1291
0.70163,1.987
0.70173,1.8628
0.70183,1.775
0.70193,1.7337
0.70203,1.7319
0.70213,1.742
0.70223,1.7217
0.70233,1.6281
0.70243,1.4346
0.70253,1.1358
0.70263,0.74136
0.70273,0.26752
0.70282,-0.2656
0.70292,-0.83183
0.70302,-1.399
0.70312,-1.9317
0.70322,-2.3951
0.70332,-2.7619
0.70342,-3.0201
0.70352,-3.176
0.70362,-3.2468
0.70372,-3.2481
0.70382,-3.1858
0.70391,-3.0578
0.70401,-2.8605
0.70411,-2.594
0.70421,-2.2611
0.70431,-1.8655
0.70441,-1.4103
0.70451,-0.90009
0.70461,-0.34146
0.70471,0.25447
0.70481,0.86774
0.70491,1.4671
0.70501,2.0143
0.7051,2.4715
0.7052,2.8069
0.7053,2.9983
0.7054,3.0353
0.7055,2.9219
0.7056,2.6752
0.7057,2.3213
0.7058,1.8908
0.7059,1.412
0.706,0.90799
0.7061,0.39571
0.7062,-0.10869
0.7063,-0.58222
0.70639,-0.98944
0.70649,-1.2869
0.70659,-1.4377
0.70669,-1.4258
0.70679,-1.2585
0.70689,-0.96042
0.70699,-0.56592
0.70709,-0.11793
0.70719,0.33224
0.70729,0.73065
0.70739,1.0334
0.70749,1.2188
0.70759,1.2908
0.70768,1.2702
0.70778,1.1817
0.70788,1.0458
0.70798,0.87585
0.70808,0.67839
0.70818,0.453
0.70828,0.1947
0.70838,-0.097327
0.70848,-0.40677
0.70858,-0.69246
0.70868,-0.89456
0.70878,-0.95352
0.70887,-0.83127
0.70897,-0.52425
0.70907,-0.06505
0.70917,0.48612
0.70927,1.057
0.70937,1.5799
0.70947,2.0042
0.70957,2.3052
0.70967,2.4876
0.70977,2.5822
0.70987,2.6293
0.70996,2.656
0.71006,2.6656
0.71016,2.6447
0.71026,2.5797
0.71036,2.4621
0.71046,2.2816
0.71056,2.0206
0.71066,1.6607
0.71076,1.1974
0.71086,0.6512
0.71096,0.068201
0.71106,-0.49255
0.71115,-0.97599
0.71125,-1.3436
0.71135,-1.5771
0.71145,-1.6765
0.71155,-1.6582
0.71165,-1.5547
0.71175,-1.4117
0.71185,-1.2792
0.71195,-1.196
0.71205,-1.1774
0.71215,-1.2131
0.71225,-1.2766
0.71235,-1.3379
0.71244,-1.3743
0.71254,-1.3762
0.71264,-1.3498
0.71274,-1.3125
0.71284,-1.2835
0.71294,-1.2743
0.71304,-1.2855
0.71314,-1.3083
0.71324,-1.3294
0.71334,-1.3364
0.71344,-1.3223
0.71354,-1.2887
0.71364,-1.2446
0.71373,-1.2031
0.71383,-1.1777
0.71393,-1.181
0.71403,-1.225
0.71413,-1.3165
0.71423,-1.4518
0.71433,-1.6152
0.71443,-1.7858
0.71453,-1.9476
0.71463,-2.0964
0.71473,-2.2367
0.71483,-2.3699
0.71492,-2.4826
0.71502,-2.5467
0.71512,-2.532
0.71522,-2.4199
0.71532,-2.2107
0.71542,-1.9231
0.71552,-1.5903
0.71562,-1.2488
0.71572,-0.9252
0.71582,-0.62879
0.71592,-0.3537
0.71601,-0.085881
0.71611,0.19038
0.71621,0.488
0.71631,0.81362
0.71641,1.1639
0.71651,1.5238
0.71661,1.8711
0.71671,2.1841
0.71681,2.4496
0.71691,2.6642
0.71701,2.8325
0.71711,2.9612
0.71721,3.0545
0.7173,3.1136
0.7174,3.1389
0.7175,3.1326
0.7176,3.0984
0.7177,3.0397
0.7178,2.9565
0.7179,2.8435
0.718,2.6925
0.7181,2.4976
0.7182,2.2605
0.7183,1.9925
0.7184,1.7116
0.71849,1.4344
0.71859,1.1679
0.71869,0.90495
0.71879,0.62566
0.71889,0.30397
0.71899,-0.081462
0.71909,-0.53737
0.71919,-1.0517
0.71929,-1.5964
0.71939,-2.1353
0.71949,-2.6345
0.71959,-3.0709
0.71969,-3.4377
0.71979,-3.7444
0.71988,-4.0107
0.71998,-4.2577
0.72008,-4.4983
0.72018,-4.7292
0.72028,-4.9285
0.72038,-5.0606
0.72048,-5.089
0.72058,-4.9965
0.72068,-4.8009
0.72078,-4.5528
0.72088,-4.3129
0.72098,-4.1218
0.72107,-3.9828
0.72117,-3.8679
0.72127,-3.7397
0.72137,-3.5741
0.72147,-3.3687
0.72157,-3.1362
0.72167,-2.8925
0.72177,-2.6488
0.72187,-2.4114
0.72197,-2.1857
0.72207,-1.9828
0.72216,-1.824
0.72226,-1.7404
0.72236,-1.7632
0.72246,-1.9092
0.72256,-2.1688
0.72266,-2.5034
0.72276,-2.8548
0.72286,-3.1591
0.72296,-3.3622
0.72306,-3.4323
0.72316,-3.3694
0.72326,-3.2056
0.72335,-2.9919
0.72345,-2.78
0.72355,-2.6079
0.72365,-2.4947
0.72375,-2.4421
0.72385,-2.44
0.72395,-2.4717
0.72405,-2.5152
0.72415,-2.5419
0.72425,-2.5203
0.72435,-2.4275
0.72445,-2.2609
0.72454,-2.0434
0.72464,-1.8166
0.72474,-1.6284
0.72484,-1.5209
0.72494,-1.5257
0.72504,-1.6577
0.72514,-1.9079
0.72524,-2.2361
0.72534,-2.5753
0.72544,-2.8479
0.72554,-2.988
0.72564,-2.9564
0.72574,-2.7453
0.72584,-2.3713
0.72593,-1.8661
0.72603,-1.2703
0.72613,-0.63661
0.72623,-0.032663
0.72633,0.46585
0.72643,0.79745
0.72653,0.93925
0.72663,0.915
0.72673,0.78032
0.72683,0.59708
0.72693,0.41408
0.72703,0.26115
0.72712,0.15117
0.72722,0.082348
0.72732,0.039944
0.72742,0.0011153
0.72752,-0.055037
0.72762,-0.13692
0.72772,-0.23772
0.72782,-0.3426
0.72792,-0.43944
0.72802,-0.52441
0.72812,-0.59894
0.72821,-0.66129
0.72832,-0.69903
0.72841,-0.68639
0.72851,-0.58767
0.72861,-0.36862
0.72871,-0.014779
0.72881,0.45242
0.72891,0.9736
0.72901,1.4679
0.72911,1.8602
0.72921,2.1047
0.72931,2.1935
0.72941,2.1492
0.7295,2.0078
0.7296,1.8003
0.7297,1.5435
0.7298,1.2425
0.7299,0.90301
0.73,0.54117
0.7301,0.18495
0.7302,-0.13325
0.7303,-0.38779
0.7304,-0.56961
0.7305,-0.6888
0.7306,-0.76782
0.73069,-0.82904
0.73079,-0.88469
0.73089,-0.93424
0.73099,-0.96969
0.73109,-0.9841
0.73119,-0.97877
0.73129,-0.96549
0.73139,-0.96255
0.73149,-0.98588
0.73159,-1.0408
0.73169,-1.1199
0.73179,-1.208
0.73189,-1.2881
0.73198,-1.3456
0.73208,-1.3719
0.73218,-1.3694
0.73228,-1.3528
0.73238,-1.344
0.73248,-1.3587
0.73258,-1.3932
0.73268,-1.4223
0.73278,-1.4134
0.73288,-1.3437
0.73298,-1.2107
0.73308,-1.0313
0.73318,-0.83429
0.73327,-0.65069
0.73337,-0.50358
0.73347,-0.40065
0.73357,-0.33315
0.73367,-0.28471
0.73377,-0.24454
0.73387,-0.21515
0.73397,-0.21005
0.73407,-0.24407
0.73417,-0.32019
0.73427,-0.42061
0.73437,-0.51205
0.73446,-0.56413
0.73456,-0.56421
0.73466,-0.51556
0.73476,-0.42364
0.73486,-0.28507
0.73496,-0.08703
0.73506,0.18547
0.73516,0.54041
0.73526,0.97059
0.73536,1.4481
0.73546,1.9258
0.73555,2.3488
0.73565,2.6713
0.73575,2.8686
0.73585,2.9361
0.73595,2.884
0.73605,2.7325
0.73615,2.5103
0.73625,2.2549
0.73635,2.01
0.73645,1.8157
0.73655,1.6952
0.73665,1.6448
0.73674,1.6368
0.73684,1.6328
0.73694,1.6
0.73704,1.5207
0.73714,1.3943
0.73724,1.2328
0.73734,1.0561
0.73744,0.88837
0.73754,0.75314
0.73764,0.66476
0.73774,0.62102
0.73784,0.60383
0.73794,0.58911
0.73803,0.55752
0.73813,0.4981
0.73823,0.40594
0.73833,0.27999
0.73843,0.12138
0.73853,-0.069612
0.73863,-0.29659
0.73873,-0.56547
0.73883,-0.87716
0.73893,-1.2186
0.73903,-1.5602
0.73913,-1.8654
0.73923,-2.1053
0.73932,-2.2707
0.73942,-2.3739
0.73952,-2.4405
0.73962,-2.4971
0.73972,-2.5591
0.73982,-2.6252
0.73992,-2.6818
0.74002,-2.7121
0.74012,-2.7054
0.74022,-2.6589
0.74032,-2.5749
0.74042,-2.4552
0.74051,-2.2996
0.74061,-2.1055
0.74071,-1.8698
0.74081,-1.5947
0.74091,-1.2944
0.74101,-0.99833
0.74111,-0.74533
0.74121,-0.5702
0.74131,-0.49174
0.74141,-0.508
0.74151,-0.6004
0.7416,-0.74236
0.7417,-0.90637
0.7418,-1.068
0.7419,-1.2094
0.742,-1.3215
0.7421,-1.4032
0.7422,-1.4589
0.7423,-1.4979
0.7424,-1.5339
0.7425,-1.5831
0.7426,-1.6588
0.7427,-1.7649
0.7428,-1.8896
0.74289,-2.0045
0.74299,-2.074
0.74309,-2.0694
0.74319,-1.979
0.74329,-1.8057
0.74339,-1.5588
0.74349,-1.2487
0.74359,-0.88931
0.74369,-0.50141
0.74379,-0.11138
0.74389,0.25567
0.74399,0.5831
0.74408,0.86298
0.74418,1.0893
0.74428,1.2539
0.74438,1.3524
0.74448,1.3926
0.74458,1.3942
0.74468,1.3797
0.74478,1.3665
0.74488,1.3644
0.74498,1.3777
0.74508,1.406
0.74518,1.4471
0.74528,1.5017
0.74538,1.574
0.74547,1.6678
0.74557,1.7801
0.74567,1.901
0.74577,2.0211
0.74587,2.1385
0.74597,2.2568
0.74607,2.3786
0.74617,2.5027
0.74627,2.6255
0.74637,2.7444
0.74647,2.8549
0.74657,2.9461
0.74666,3.0011
0.74676,3.0063
0.74686,2.9602
0.74696,2.8723
0.74706,2.7544
0.74716,2.6117
0.74726,2.4405
0.74736,2.2329
0.74746,1.9827
0.74756,1.6917
0.74766,1.3713
0.74775,1.0414
0.74785,0.72762
0.74795,0.45848
0.74805,0.26369
